Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-04-20,3.658248606,4215.0,3668.0,2139.0,50,-54.83911033,-20.446941,48.65100318,4051.0,-6107735.014032733,4331.0,1626.0,1359.0,0.3572254335260115,2716.0,1420.0
2022-04-20,3.836273814,4215.0,3668.0,2139.0,50,-54.83911033,-20.446941,51.62994532,4051.0,-6107735.014032733,4331.0,1626.0,1359.0,0.3572254335260115,2716.0,1420.0
2022-04-06,9.58697173,4034.0,3636.0,2204.0,51,-54.838854,-20.44615233,55.8207313,3946.0,-4754130.546514892,3970.0,1715.0,1309.0,0.3114753161881476,2932.0,1566.0
2022-04-06,9.670904535,4034.0,3636.0,2204.0,51,-54.838854,-20.44615233,54.38994674,3946.0,-4754130.546514892,3970.0,1715.0,1309.0,0.3114753161881476,2932.0,1566.0
2022-04-06,6.639711346,4017.0,3632.0,2210.0,52,-54.83932933,-20.44665567,54.53465595,3987.0,-5055280.910210092,3984.0,1707.0,1321.0,0.3196963666344459,2939.0,1570.0
2022-04-06,6.11769724,4017.0,3632.0,2210.0,52,-54.83932933,-20.44665567,53.78200751,3987.0,-5055280.910210092,3984.0,1707.0,1321.0,0.3196963666344459,2939.0,1570.0
2022-04-06,7.962381874,4034.0,3838.0,2224.0,53,-54.83899467,-20.44704667,60.28727268,4327.0,-6861171.376118913,4357.0,1693.0,1369.0,0.3683665894315344,2970.0,1518.0
2022-04-06,8.135262155,4034.0,3838.0,2224.0,53,-54.83899467,-20.44704667,60.67244732,4327.0,-6861171.376118913,4357.0,1693.0,1369.0,0.3683665894315344,2970.0,1518.0
2022-04-06,8.608928308,4082.0,3871.0,2228.0,54,-54.83874133,-20.447071,58.81055681,4205.0,-5887360.100262395,4245.0,1750.0,1369.0,0.3453093698779821,2974.0,1513.0
2022-04-06,8.451011648,4082.0,3871.0,2228.0,54,-54.83874133,-20.447071,57.32815206,4205.0,-5887360.100262395,4245.0,1750.0,1369.0,0.3453093698779821,2974.0,1513.0
2022-04-06,7.972521079,4171.0,3870.0,2241.0,55,-54.839704,-20.44656733,56.37384648,4235.0,-6829776.1522453725,4335.0,1757.0,1300.0,0.3674362117242232,3051.0,1521.0
2022-04-06,7.891813573,4171.0,3870.0,2241.0,55,-54.839704,-20.44656733,57.11351203,4235.0,-6829776.1522453725,4335.0,1757.0,1300.0,0.3674362117242232,3051.0,1521.0
