Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover
101,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
101,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
102,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
102,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
103,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
103,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
104,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
104,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
105,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
105,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
106,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
106,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
107,1,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
107,2,2022-11-16,G2550992842-LPCLOUD,2022-11-19T13:58:08.175000,0
108,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
108,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
109,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
109,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
110,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
110,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
111,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
111,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
112,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
112,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
113,1,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
113,2,2022-11-29,G2556943061-LPCLOUD,2022-11-29T13:58:07.117000,16
114,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
114,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
115,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
115,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
116,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
116,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
117,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
117,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
118,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
118,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
119,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
119,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
120,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
120,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
121,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
121,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
122,1,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
122,2,2022-12-08,G2562878871-LPCLOUD,2022-12-09T13:58:04.891000,34
123,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
123,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
124,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
124,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
125,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
125,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
126,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
126,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
127,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
127,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
128,1,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
128,2,2022-12-14,G2569425897-LPCLOUD,2022-12-14T13:58:08.337000,77
129,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
129,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
130,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
130,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
131,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
131,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
132,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
132,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
133,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
133,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
134,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
134,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
135,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
135,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
136,1,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
136,2,2023-01-13,G2593174444-LPCLOUD,2023-01-18T13:58:05.861000,24
137,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
137,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
138,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
138,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
139,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
139,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
140,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
140,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
141,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
141,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
142,1,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
142,2,2023-01-26,G2599518289-LPCLOUD,2023-01-28T13:58:06.176000,68
143,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
143,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
144,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
144,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
145,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
145,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
146,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
146,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
147,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
147,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
148,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
148,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
149,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
149,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
150,1,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
150,2,2023-02-09,G2611126445-LPCLOUD,2023-02-12T13:58:06.555000,96
151,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
151,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
152,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
152,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
153,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
153,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
154,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
154,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
155,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
155,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
156,1,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
156,2,2023-03-01,G2623429779-LPCLOUD,2023-02-27T13:58:09.239000,14
