SampleID,mode,has_item,in_window,n_scenes_window,scene_datetimes,cloud_frac_median
108,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
109,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
109,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
110,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
110,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
111,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
111,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
112,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
112,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
113,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
113,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
114,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
114,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
115,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
115,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
116,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
116,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
117,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
117,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
118,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
118,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
119,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
119,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
120,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
120,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
121,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
121,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
122,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
122,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
123,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
123,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
124,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
124,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
125,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
125,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
126,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
126,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
127,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
127,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
128,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
128,d7,1,1,1,2022-12-09T13:58:04.891760,0.0
129,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
129,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
130,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
130,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
131,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
131,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
132,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
132,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
133,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
133,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
134,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
134,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
135,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
135,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
136,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
136,d7,1,1,1,2023-01-18T13:58:05.861240,0.0
137,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2777777777777778
137,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2777777777777778
138,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2777777777777778
138,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2777777777777778
139,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2222222222222222
139,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2222222222222222
140,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.0
140,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.0
141,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.3888888888888889
141,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.3888888888888889
142,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2222222222222222
142,d7,1,1,2,"2023-01-28T13:58:06.176500,2023-02-02T13:58:07.153310",0.2222222222222222
143,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
143,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
144,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
144,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
145,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
145,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
146,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
146,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
147,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
147,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
148,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
148,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
149,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
149,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
150,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
150,d7,1,1,1,2023-02-02T13:58:07.153310,0.0
151,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
151,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
152,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
152,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
153,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
153,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
154,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
154,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
155,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
155,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
156,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
156,d7,1,1,3,"2023-02-22T13:58:06.036340,2023-02-27T13:58:09.239350,2023-03-04T13:58:05.407620",0.0
